"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"3","CYP2A6",3,679,-0.0522850919452864,0.035,4.77256608009338
"31","XDH",3,388,-0.055936204722057,0.083,5.13463306427002
"4","NAT1",4,1016,-0.0522269975259043,0.019,4.40771794319153
"2","SGF29",2,106,0.0249530124512956,0.588,4.74628400802612
"32","APRT",3,1052,0.00992288553062446,0.613,4.89989805221558
"21","PA2G4",2,266,-0.0534381797892498,0.15,5.21766090393066
"22","ADA2",2,124,-0.123219835459994,0.051,4.87445712089539
"41","RDH14",4,1188,-0.0351633543676235,0.073,4.51708197593689
"23","TRMT11",2,193,-0.0366417459831701,0.283,5.06165194511414
"33","CDH6",3,545,-0.0641083493021276,0.039,4.61355209350586
"34","APC2",3,1709,-0.00994427420849615,0.294,4.36927103996277
"24","CAVIN3",2,75,-0.175663098546216,0.027,4.89430999755859
"25","NENF",2,58,-0.190783823824113,0.052,4.86478114128113
"35","SARS2",3,1091,-0.0389126195221725,0.049,4.95532703399658
"36","SLIT1",3,1108,-0.00409582187504615,0.417,4.54484891891479
"26","PPT2",2,111,-0.113247148787119,0.075,4.82491493225098
"37","PTBP3",3,357,-0.0807663517602973,0.032,3.98073315620422
"27","ADCY2",2,505,-0.00576833225777029,0.443,4.78972887992859
"28","ADCY7",2,533,-0.00566446518916841,0.44,4.16399598121643
"29","ADCY9",2,509,-0.00814528436711873,0.417,4.87020015716553
"38","THEM4",3,864,0.00943517649831376,0.645,4.68306994438171
"210","S1PR3",2,300,-0.0435472117219423,0.187,4.63076019287109
"211","PHLPP2",2,49,-0.102232349618876,0.207,4.79865097999573
"39","RICTOR",3,1464,-0.0230606348144626,0.144,5.03048920631409
"310","NKX3-1",3,1095,0.0279359068241526,0.859,4.46935701370239
"212","PFKFB2",2,63,0.0611234291533817,0.734,4.87805795669556
"311","PPP2R3C",3,1512,0.0118472619478807,0.737,4.62585091590881
"312","MAPKAP1",3,1491,-0.0242771030131108,0.127,4.6846239566803
"213","USP8",2,192,-0.0722623517549437,0.119,4.89747309684753
"214","RBM14",2,36,0.00673435029701474,0.532,4.03160095214844
"313","CDK19",3,1911,0.0235326893117623,0.903,4.87182807922363
"215","TADA2A",2,95,0.190600451894596,0.986,4.8297381401062
"216","MED10",2,173,0.0195059607626209,0.619,4.39814114570618
"217","TADA2B",2,231,0.0207061755065493,0.605,4.96763300895691
"218","THRAP3",2,75,0,0.478,4.68801212310791
"42","SLC27A5",4,1519,-0.0310994954989947,0.055,4.44283509254456
"314","SCP2",3,1158,-0.0104052495362029,0.322,4.59710216522217
"219","USP6NL",2,43,-0.051348939620685,0.389,4.62371206283569
"220","GFPT1",2,112,0.00932215945991673,0.543,4.28194713592529
"315","HK2",3,1160,-0.0789180288999379,0.000999000999000999,4.71816110610962
"316","HK3",3,823,-0.0555488647327508,0.024,4.60482287406921
"317","MPI",3,465,-0.0407736452198635,0.136,4.05204606056213
"221","GFPT2",2,91,-0.0723452550725364,0.211,4.65792894363403
"43","KCNH2",4,987,-0.0414750487173494,0.049,4.82290196418762
"44","KCNN4",4,1239,-0.00683054238505277,0.38,4.37068891525269
"222","KCNQ1",2,151,-0.086654310781528,0.104,4.61471581459045
"223","KCNK5",2,24,-0.0682523632789935,0.372,3.91645908355713
"224","LY96",2,343,0.0483076953461156,0.855,4.2497730255127
"1","MAP4K2",1,0,NA,1,4.62245798110962
"225","AZI2",2,22,-0.244080612277237,0.15,4.68806886672974
"226","TRAF1",2,87,-0.0877767961825864,0.183,4.75277709960938
"227","RNF135",2,112,-0.032953108137281,0.322,4.08672499656677
"228","TBKBP1",2,19,-0.07209840939145,0.423,4.65618801116943
"229","SNUPN",2,76,0.129337957516821,0.903,4.68503999710083
"318","NEK7",3,680,0.0289346659648427,0.814,4.57998895645142
"230","GEMIN5",2,108,0.0233985096726201,0.616,4.30296778678894
"231","ZSCAN32",2,190,-0.197804617575392,0.000999000999000999,5.28817701339722
"319","ZNF444",3,198,-0.19046860532074,0.001,5.07846784591675
"320","ZSCAN20",3,198,-0.212277981670174,0.000999000999000999,4.52650284767151
"321","ZNF397",3,198,-0.186314007954908,0.001,4.78473687171936
"232","HSD17B4",2,181,0.0413079494328014,0.758,4.82140898704529
"45","TRAPPC8",4,1518,0.00817380827371551,0.66,4.13309693336487
"322","DYRK1A",3,1076,-0.0320050465009845,0.081,4.76697111129761
"233","GPX2",2,54,-0.105428752103256,0.176,5.31568813323975
"234","GPX7",2,58,-0.0999251479020141,0.168,4.18651294708252
"235","GPX8",2,58,-0.124906434877518,0.119,4.52334403991699
"236","DNTTIP1",2,83,0.0420481604943657,0.625,4.39756202697754
"323","H2AFY2",3,1304,0.0253704368150499,0.885,4.90073299407959
"237","ASH1L",2,146,-0.0709626212434209,0.143,5.04755306243896
"238","PHF12",2,95,0.0325606204689466,0.631,4.29477715492249
"239","SINHCAF",2,83,0.00663918323595248,0.516,4.73004913330078
"240","ZNF541",2,83,-0.013278366471905,0.423,4.72404885292053
"324","FAT3",3,226,0.102723418258398,0.97,4.71906304359436
"325","PNPLA6",3,559,-0.00260604910716188,0.474,4.87474799156189
"326","CYP2J2",3,625,-0.0721892153139266,0.014,5.50927805900574
"241","PLD3",2,48,0.0932091372259788,0.779,4.90967798233032
"327","ALOX5",3,707,-0.0582210744589173,0.028,5.3516149520874
"328","ALOX15",3,701,-0.0594261733160663,0.024,4.65622997283936
"329","ALOX15B",3,1143,0.00707184990459056,0.611,4.73944401741028
"242","GNA12",2,238,0.00411632829625011,0.518,4.58709716796875
"243","GNAS",2,306,-0.0658809126023945,0.086,4.09390616416931
"330","CYP4F3",3,581,-0.0501590726372765,0.061,4.72076821327209
"331","CHDH",3,598,0.0521604620297245,0.947,5.19243812561035
"332","PTGS1",3,932,-0.0580815335422643,0.012,4.60990500450134
"244","PLA2G7",2,27,0.150970271219279,0.805,3.98791003227234
"245","PTDSS2",2,29,0.0794066667176744,0.694,5.09762787818909
"333","FADS2",3,484,0.0242543965932087,0.733,5.20179295539856
"246","GRK2",2,301,0.0353468963752559,0.797,3.86926198005676
"334","ETV3",3,1121,0.0155229258894767,0.719,4.63497114181519
"335","GATA2",3,1272,0.047342596305844,0.988,4.64231896400452
"247","ANKRA2",2,10,-0.248451997499977,0.294,3.76376700401306
"336","HTRA2",3,855,-0.0374790907710391,0.091,4.52969717979431
"337","SRI",3,104,-0.12172576691332,0.056,4.54688405990601
"248","MVB12B",2,30,-0.207767430643666,0.098,4.59522294998169
"249","MVB12A",2,33,-0.139766348004919,0.169,4.72000694274902
"338","HEBP2",3,9,-0.471404520791032,0.104,3.97594094276428
"339","DDIT3",3,1795,-0.00303871020829939,0.442,4.99669194221497
"250","TOMM5",2,93,-0.102350604721091,0.124,4.75291395187378
"251","TOMM22",2,143,-0.140031336232141,0.028,4.18885803222656
"252","TOMM20",2,116,-0.160909408766072,0.028,4.58617496490479
"253","TOMM70",2,117,-0.198577535278613,0.002,4.60441279411316
"46","RENBP",4,1108,-0.0337969733168254,0.086,4.26520204544067
"47","NPL",4,529,-0.0580318538311803,0.053,4.59584403038025
"48","UAP1L1",4,885,-0.0524057811717685,0.026,4.52689814567566
"340","CXCL13",3,1527,-0.0195551986584236,0.178,4.74114298820496
"254","CXCR6",2,233,-0.0638126950343365,0.13,4.77652788162231
"255","ADCY1",2,305,-0.0488287901250723,0.164,3.6513819694519
"256","CCR1",2,233,-0.0554518794999726,0.157,5.06774091720581
"257","CCR5",2,298,-0.0629705250488037,0.101,4.92003393173218
"258","CCR7",2,233,-0.0529928161075126,0.178,4.41522002220154
"341","ADORA1",3,1538,-0.0146578926637867,0.242,5.09383201599121
"342","ADRA2C",3,1559,-0.013210855781703,0.271,4.89715504646301
"343","APLNR",3,1532,-0.0205663243142029,0.171,4.31144714355469
"259","FPR1",2,292,-0.0497448399676554,0.156,4.83011388778687
"344","GPSM1",3,1609,-0.0382228294312517,0.03,4.81725907325745
"260","CXCR3",2,238,-0.0477803180853001,0.194,4.36461091041565
"345","MCHR1",3,1919,-0.0005569941545118,0.491,4.89502906799316
"346","GPER1",3,1536,-0.0146032057049613,0.247,4.83682012557983
