"","cutoff","omega","p_omega"
"1",5,0,1
"2",6,0,1
"3",7,0,1
"4",8,0,1
"5",9,0,1
"6",10,0,1
"7",11,0,1
"8",12,0,1
"9",13,0,1
"10",14,0,1
"11",15,0,1
"12",16,532.869695639772,0.436666666666667
"13",17,532.869695639772,0.466666666666667
"14",18,1096.33180986575,0.293333333333333
"15",19,1046.30259857,0.35
"16",20,1603.02989267651,0.273333333333333
"17",21,1603.02989267651,0.316666666666667
"18",22,1603.02989267651,0.346666666666667
"19",23,1603.02989267651,0.383333333333333
"20",24,1595.40303289223,0.47
"21",25,2058.51641202242,0.35
"22",26,2021.769037054,0.423333333333333
"23",27,3112.18147487152,0.276666666666667
"24",28,3112.18147487152,0.303333333333333
"25",29,4829.29342992288,0.18
"26",30,4829.29342992288,0.22
"27",31,4829.29342992288,0.236666666666667
"28",32,7582.26655796166,0.09
"29",33,8020.32497932654,0.0666666666666667
"30",34,8020.11583471139,0.0733333333333333
"31",35,10653.5773936525,0.0266666666666667
"32",36,10649.8393210793,0.0266666666666667
"33",37,10649.8393210793,0.03
"34",38,14271.9048138619,0
"35",39,14159.6170898933,0
"36",40,13863.5448349049,0.00666666666666667
"37",41,14907.0926746236,0.01
"38",42,14905.9776007642,0.0166666666666667
"39",43,14905.6837023351,0.0133333333333333
"40",44,15352.1563573979,0.0166666666666667
"41",45,15352.1563573979,0.0166666666666667
"42",46,19961.0951273652,0.00666666666666667
"43",47,23513.1627150183,0
"44",48,23439.0764694864,0
"45",49,23418.602833696,0.00333333333333333
"46",50,23417.8209227375,0.00333333333333333
"47",51,27418.2865789152,0
"48",52,29368.6776479851,0
"49",53,29368.6776479851,0
"50",54,29355.7488753441,0
"51",55,29355.3628187699,0
"52",56,29355.3628187699,0
"53",57,29783.8333341829,0
"54",58,36589.7477300228,0
"55",59,37499.4254216981,0
"56",60,41857.8422906457,0
"57",61,47734.4380748577,0
"58",62,47545.2824583957,0
"59",63,47545.2824583957,0
"60",64,53927.2204170301,0
"61",65,59974.2173735151,0
"62",66,63367.1067308254,0
"63",67,63367.0606401539,0
"64",68,72100.856842169,0
"65",69,80550.9097537938,0
"66",70,81388.3142419706,0
"67",71,81384.8414105222,0
"68",72,82535.4241077817,0
"69",73,82534.9366606041,0
"70",74,90119.4335884361,0
"71",75,90115.0782949535,0
"72",76,90114.6874463406,0
"73",77,90114.6874463406,0
"74",78,91500.7001152135,0
"75",79,99723.6515054526,0
"76",80,99723.6515054526,0
"77",81,99723.6515054526,0
"78",82,99723.4148528409,0
"79",83,101084.081578302,0
"80",84,104859.821645991,0
"81",85,104859.821645991,0
"82",86,105271.191480908,0
"83",87,115728.273790095,0
"84",88,124749.85196496,0
"85",89,126388.353042694,0
"86",90,126235.777444377,0
"87",91,132442.429166116,0
"88",92,133294.12494748,0
"89",93,132911.764787891,0
"90",94,142444.136209905,0
"91",95,143640.148928563,0
"92",96,143619.752907009,0
"93",97,143396.37252253,0
"94",98,156697.789679018,0
"95",99,158361.124446266,0
"96",100,167239.938946522,0
"97",101,169426.563487572,0
"98",102,182595.646961421,0
"99",103,182594.894741681,0
"100",104,183345.427022706,0
"101",105,188711.85884429,0
"102",106,188711.85884429,0
"103",107,188705.468336225,0
"104",108,188347.543720294,0
"105",109,191387.455602375,0
"106",110,191387.277911668,0
"107",111,191376.619998451,0
"108",112,191371.361224767,0
"109",113,203815.981512541,0
"110",114,203815.654040775,0
"111",115,204029.671863901,0
"112",116,205246.24221493,0
"113",117,205245.559053633,0
"114",118,205244.852069315,0
"115",119,216961.350207184,0
"116",120,216960.34148088,0
"117",121,217864.759536506,0
"118",122,219009.461882966,0
"119",123,219008.472706236,0
"120",124,218024.90347027,0
"121",125,217484.738927476,0
