"","cutoff","omega","p_omega"
"1",5,21.0869052450352,0
"2",6,30.6126414260624,0
"3",7,41.914674561451,0
"4",8,54.9255988358146,0
"5",9,63.8626095573642,0
"6",10,75.421195945344,0
"7",11,90.1337850558954,0
"8",12,79.4221639190293,0
"9",13,91.2502347894372,0
"10",14,103.651150706316,0
"11",15,112.676949565877,0
"12",16,126.231142312264,0
"13",17,140.281443681707,0
"14",18,155.250688732945,0
"15",19,172.296323323097,0
"16",20,181.20293833867,0
"17",21,202.956343684222,0
"18",22,211.749440670999,0
"19",23,231.993960399919,0
"20",24,253.048318557303,0
"21",25,275.039228765856,0
"22",26,302.212327100571,0
"23",27,327.708052829559,0
"24",28,343.289230091031,0
"25",29,368.722684929188,0
"26",30,387.074976818351,0
"27",31,416.761452427177,0
"28",32,451.944970489029,0
"29",33,488.063522360103,0
"30",34,513.097808461361,0
"31",35,544.471627707752,0
"32",36,570.316994903438,0
"33",37,597.117236472465,0
"34",38,614.823799203333,0
"35",39,649.205043422189,0
"36",40,651.040295192752,0
"37",41,682.69604712154,0
"38",42,719.83144994616,0
"39",43,758.529350170036,0
"40",44,794.279289798437,0
"41",45,784.233031630652,0
"42",46,804.279327544261,0
"43",47,827.625494952411,0
"44",48,840.896583277651,0
"45",49,879.002183856,0
"46",50,917.932009710246,0
"47",51,954.564696670253,0
"48",52,975.706935506589,0
"49",53,1008.82540211263,0
"50",54,1031.13506317477,0
"51",55,1040.66068629847,0
"52",56,1076.80384139883,0
"53",57,1119.78439106733,0
"54",58,1156.63110743184,0
"55",59,1200.03183513871,0
"56",60,1224.73843175892,0
"57",61,1263.24867931949,0
"58",62,1301.57796966118,0
"59",63,1341.9720688318,0
"60",64,1384.2621891758,0
"61",65,1382.97766118952,0
"62",66,1423.00130839333,0
"63",67,1466.7812265421,0
"64",68,1506.2878026022,0
"65",69,1551.67135979884,0
"66",70,1561.42489559235,0
"67",71,1603.48560017769,0
"68",72,1653.78473663186,0
"69",73,1695.84367384053,0
"70",74,1745.83384950218,0
"71",75,1793.86768495825,0
"72",76,1826.01657088856,0
"73",77,1863.04820193275,0
"74",78,1915.34901943125,0
"75",79,1949.56355192081,0
"76",80,1947.74092032835,0
"77",81,1996.18913780631,0
"78",82,2048.39385824496,0
"79",83,2051.98533902859,0
"80",84,2073.67195513162,0
"81",85,2107.49964168054,0
"82",86,2114.40966472773,0
"83",87,2124.1168630373,0
"84",88,2164.83536585428,0
"85",89,2197.69134482543,0
"86",90,2203.19768561221,0
"87",91,2248.52926496847,0
"88",92,2279.52145042089,0
"89",93,2283.42738508072,0
"90",94,2314.40240364243,0
"91",95,2341.9480229218,0
"92",96,2367.413194346,0
"93",97,2402.96901975967,0
"94",98,2424.14877306045,0
"95",99,2420.30410682973,0
"96",100,2452.2185063835,0
"97",101,2481.66506156341,0
"98",102,2511.88924137088,0
"99",103,2535.76948468644,0
"100",104,2560.18641759299,0
"101",105,2599.57867063152,0
"102",106,2613.32300475839,0
"103",107,2641.03523211954,0
"104",108,2685.96474702079,0
"105",109,2721.93420845317,0
"106",110,2752.64282490912,0
"107",111,2798.82355529575,0
"108",112,2824.74596707678,0
"109",113,2834.65285609231,0
"110",114,2859.90019699212,0
"111",115,2885.98774925465,0
"112",116,2922.41667966487,0
"113",117,2958.16841568843,0
"114",118,2986.03001123945,0
"115",119,2998.88424051847,0
"116",120,3025.47726907063,0
"117",121,3036.77594679457,0
"118",122,3040.84684259653,0
"119",123,3020.97038994581,0
"120",124,3054.66920602289,0
"121",125,3061.73244770319,0
"122",126,3091.18209095635,0
"123",127,3104.01811916688,0
"124",128,3131.05041228524,0
"125",129,3136.63650952231,0
"126",130,3137.16281657234,0
"127",131,3147.36056352719,0
"128",132,3182.90330594125,0
"129",133,3201.44586602546,0
"130",134,3249.53816282425,0
"131",135,3286.18855672376,0
"132",136,3295.53486766402,0
"133",137,3315.35876596265,0
"134",138,3326.10198517433,0
"135",139,3335.37134644488,0
"136",140,3329.1042591894,0
"137",141,3356.94965511174,0
"138",142,3395.13928765939,0
"139",143,3423.55938847765,0
"140",144,3446.21216859139,0
"141",145,3455.08787729162,0
"142",146,3489.5191017166,0
"143",147,3500.02554656239,0
"144",148,3467.69424488451,0
"145",149,3509.89837730277,0
"146",150,3504.08018625915,0
"147",151,3548.4789310797,0
"148",152,3602.94689305766,0
"149",153,3598.77743361218,0
"150",154,3626.60882665753,0
"151",155,3624.16104106313,0
"152",156,3664.6349551863,0
"153",157,3676.589907053,0
"154",158,3704.98317647174,0
"155",159,3735.82617840346,0
"156",160,3750.31153848674,0
"157",161,3751.21422782654,0
"158",162,3785.17358158255,0
"159",163,3796.07849892788,0
"160",164,3828.59991595686,0
"161",165,3857.69351999059,0
"162",166,3857.6928326966,0
"163",167,3861.0922153037,0
"164",168,3878.0318772864,0
"165",169,3868.40462439568,0
"166",170,3890.37184964089,0
"167",171,3923.97828482765,0
"168",172,3953.14864307908,0
"169",173,3970.55292012418,0
"170",174,4012.98354511303,0
"171",175,4042.49404770724,0
"172",176,4047.29374775338,0
"173",177,4077.19588494393,0
"174",178,4082.63523155662,0
"175",179,4083.87687171484,0
"176",180,4091.6073932818,0
"177",181,4087.41227148924,0
"178",182,4125.30062965231,0
"179",183,4144.53162327346,0
"180",184,4164.23645445326,0
"181",185,4182.58041496846,0
"182",186,4183.08290751874,0
"183",187,4189.75717256288,0
"184",188,4168.53082793615,0
"185",189,4169.39185518366,0
"186",190,4174.08531573224,0
"187",191,4181.35375772844,0
"188",192,4215.76009187101,0
"189",193,4214.63656337814,0
"190",194,4213.10447447523,0
"191",195,4214.94404752537,0
"192",196,4223.70712165583,0
"193",197,4257.23569128886,0
"194",198,4264.93836171817,0
"195",199,4261.40737496945,0
"196",200,4295.58497194043,0
"197",201,4296.13906034371,0
"198",202,4361.16983662303,0
"199",203,4349.73695862562,0
"200",204,4356.59208898138,0
"201",205,4360.53701437788,0
"202",206,4389.73566051874,0
"203",207,4424.7334218369,0
"204",208,4431.81634711424,0
"205",209,4439.37947274701,0
"206",210,4446.5374972043,0
"207",211,4485.72773431211,0
"208",212,4487.05514429447,0
"209",213,4483.75219116171,0
"210",214,4513.08508836286,0
"211",215,4517.33816743481,0
"212",216,4560.95049767678,0
"213",217,4590.37064168848,0
"214",218,4594.49069689153,0
"215",219,4609.79877328294,0
"216",220,4630.16130749418,0
"217",221,4637.58850323213,0
"218",222,4679.0434316703,0
"219",223,4724.06658708284,0
"220",224,4744.58110105776,0
"221",225,4751.69607610487,0
"222",226,4759.05723893754,0
"223",227,4758.93290657752,0
"224",228,4764.99939972135,0
"225",229,4783.71954560567,0
"226",230,4820.38547658637,0
"227",231,4823.58489676335,0
"228",232,4860.87711032455,0
"229",233,4876.24567694493,0
"230",234,4886.5891584655,0
"231",235,4888.90476097504,0
"232",236,4917.58408831182,0
"233",237,4909.7432798691,0
"234",238,4910.60679470352,0
"235",239,4955.13211490688,0
"236",240,4962.22537264987,0
"237",241,4982.12336877136,0
"238",242,4997.11909556153,0
"239",243,4992.01012302644,0
"240",244,5020.38974994772,0
