"","cutoff","omega","p_omega"
"1",5,26.4675431173825,0
"2",6,38.4637040719532,0
"3",7,52.6905056115986,0
"4",8,69.1163064957738,0
"5",9,80.0617808811641,0
"6",10,94.8086833927468,0
"7",11,104.329473013461,0
"8",12,118.672134417121,0
"9",13,125.246696441799,0
"10",14,127.20425126615,0
"11",15,147.341061014536,0
"12",16,168.409704410001,0
"13",17,161.461563657539,0
"14",18,182.761199799016,0
"15",19,203.547606732662,0
"16",20,219.410840181014,0
"17",21,232.334567323706,0
"18",22,253.061605795553,0
"19",23,268.836103873371,0
"20",24,293.355981740029,0
"21",25,320.60784422885,0
"22",26,343.400814744422,0
"23",27,361.847986078259,0
"24",28,379.919309985337,0
"25",29,398.021321455085,0
"26",30,416.726899116793,0
"27",31,440.681560578498,0
"28",32,446.02140924743,0
"29",33,473.888238095391,0
"30",34,492.916725049424,0
"31",35,517.449692535766,0
"32",36,539.091359910312,0
"33",37,563.059019525901,0
"34",38,604.086040391398,0
"35",39,633.677055197075,0
"36",40,674.616631806803,0
"37",41,711.314930270101,0
"38",42,705.073322087261,0
"39",43,727.526094814017,0
"40",44,755.464069488021,0
"41",45,803.128490241887,0
"42",46,849.194883297805,0
"43",47,883.627266742953,0
"44",48,896.125529941718,0
"45",49,900.402853404414,0
"46",50,934.952164129927,0
"47",51,973.83200719098,0
"48",52,1018.07547340925,0
"49",53,1057.48859101013,0
"50",54,1097.96550712047,0
"51",55,1100.60936272665,0
"52",56,1139.52115254646,0
"53",57,1166.50638873074,0
"54",58,1176.32367987935,0
"55",59,1217.91679922113,0
"56",60,1256.78594543806,0
"57",61,1298.17408178393,0
"58",62,1336.73352267918,0
"59",63,1375.40441560998,0
"60",64,1389.7961666004,0
"61",65,1394.63931550328,0
"62",66,1432.4080486828,0
"63",67,1474.63795612481,0
"64",68,1481.45360142968,0
"65",69,1521.36945198421,0
"66",70,1566.88230003131,0
"67",71,1620.45027855211,0
"68",72,1649.44330207061,0
"69",73,1677.86818453384,0
"70",74,1720.40553964828,0
"71",75,1765.15593166192,0
"72",76,1810.65480558961,0
"73",77,1856.98778991811,0
"74",78,1902.26419566532,0
"75",79,1888.93453630195,0
"76",80,1917.6274274902,0
"77",81,1947.23342841462,0
"78",82,1984.53889722599,0
"79",83,2032.16507692671,0
"80",84,2065.93163809528,0
"81",85,2118.24522788263,0
"82",86,2174.98636652139,0
"83",87,2219.94698985874,0
"84",88,2225.6087865602,0
"85",89,2269.95574880691,0
"86",90,2302.81626960997,0
"87",91,2354.24077273213,0
"88",92,2387.16955845394,0
"89",93,2427.63413737813,0
"90",94,2437.03067408447,0
