"","cutoff","omega","p_omega"
"1",5,17.891931411191,0
"2",6,25.5827531651939,0
"3",7,34.8332839166057,0
"4",8,41.3419338499176,0
"5",9,52.7641145273553,0
"6",10,61.5757439336731,0
"7",11,52.2584921808256,0
"8",12,60.1151391625862,0
"9",13,69.3232302866414,0
"10",14,80.72984443443,0
"11",15,92.4975680491905,0
"12",16,103.72469156601,0
"13",17,110.885596225854,0
"14",18,124.023407184483,0
"15",19,135.448713418045,0
"16",20,144.738559835876,0
"17",21,161.274456181911,0
"18",22,166.426834475284,0
"19",23,175.897705007073,0
"20",24,190.095926485149,0
"21",25,204.502881665067,0
"22",26,215.824443903423,0
"23",27,233.850172331928,0
"24",28,247.058274969237,0
"25",29,265.43674452998,0
"26",30,277.191665874248,0
"27",31,300.945573184176,0
"28",32,318.874234497337,0
"29",33,342.045817325569,0
"30",34,358.559237064815,0
"31",35,366.664108303431,0
"32",36,375.451150357957,0
"33",37,376.951081402156,0
"34",38,387.158275242311,0
"35",39,414.357012755158,0
"36",40,434.671541352435,0
"37",41,461.510810170723,0
"38",42,480.475864289645,0
"39",43,498.241544848535,0
"40",44,523.390548330864,0
"41",45,520.09517529667,0
"42",46,544.386184238995,0
"43",47,560.756050644763,0
"44",48,584.914946249921,0
"45",49,612.082524937832,0
"46",50,613.489137824485,0
"47",51,629.177188746629,0
"48",52,653.407861030574,0
"49",53,669.772264987747,0
"50",54,695.497935803715,0
"51",55,720.72044816383,0
"52",56,748.765281995551,0
"53",57,755.442697223149,0
"54",58,778.423515213269,0
"55",59,795.125347041599,0
"56",60,826.059101145803,0
"57",61,850.850896415065,0
"58",62,875.34659738264,0
"59",63,901.355062382819,0
"60",64,930.52702736632,0
"61",65,957.102219229386,0
"62",66,984.062688288796,0
"63",67,1011.3652908065,0
"64",68,1039.43550432889,0
"65",69,1041.05877741677,0
"66",70,1070.16375300265,0
"67",71,1097.39932650012,0
"68",72,1104.65144766058,0
"69",73,1109.62264232548,0
"70",74,1116.89744882589,0
"71",75,1141.80427125496,0
"72",76,1171.50041845455,0
"73",77,1175.2935863749,0
"74",78,1206.856694625,0
"75",79,1240.055256845,0
"76",80,1256.07616651427,0
"77",81,1286.05004227238,0
"78",82,1314.20986126095,0
"79",83,1348.24885765767,0
"80",84,1380.34165340162,0
"81",85,1406.49393761695,0
"82",86,1410.35975359241,0
"83",87,1447.77708132439,0
"84",88,1469.76751347403,0
"85",89,1486.67716645712,0
"86",90,1521.0197226778,0
"87",91,1519.80704992331,0
"88",92,1524.34569627902,0
"89",93,1535.11825957668,0
"90",94,1570.65384219349,0
"91",95,1593.6519801024,0
"92",96,1602.58251692269,0
"93",97,1620.71316666663,0
"94",98,1639.31163628026,0
"95",99,1661.0124081317,0
"96",100,1688.84729883805,0
"97",101,1711.80548341677,0
"98",102,1732.27068093114,0
"99",103,1739.96610740403,0
"100",104,1759.46599077957,0
"101",105,1778.67239200483,0
"102",106,1785.60400478499,0
"103",107,1809.33826678921,0
"104",108,1833.97310234931,0
"105",109,1864.17918841783,0
"106",110,1883.75416315431,0
"107",111,1892.49635472719,0
"108",112,1911.75890843167,0
"109",113,1924.08291263331,0
"110",114,1944.09882639565,0
"111",115,1954.65726006905,0
"112",116,1987.66161911478,0
"113",117,2005.07726133971,0
"114",118,1990.04686320851,0
"115",119,2010.14817043125,0
"116",120,2030.00884574656,0
"117",121,2050.71316014981,0
"118",122,2056.93543852616,0
"119",123,2081.54905318572,0
"120",124,2108.81469835219,0
"121",125,2116.18875758257,0
"122",126,2122.35352891043,0
"123",127,2156.25831727682,0
"124",128,2169.59584980108,0
"125",129,2177.46758891732,0
"126",130,2184.90196295688,0
"127",131,2205.67742895313,0
"128",132,2210.36209781477,0
"129",133,2223.96816880333,0
"130",134,2233.71384804699,0
"131",135,2234.43722645461,0
"132",136,2250.97855169138,0
"133",137,2270.84566354014,0
"134",138,2291.11080172181,0
"135",139,2318.21339807783,0
"136",140,2316.77367200535,0
"137",141,2341.51855861127,0
"138",142,2361.21677821394,0
"139",143,2356.70280233042,0
"140",144,2358.11815143087,0
"141",145,2378.3756181992,0
"142",146,2386.67723584709,0
"143",147,2407.2344959585,0
"144",148,2419.31736167451,0
"145",149,2442.80601626716,0
"146",150,2466.92629306453,0
"147",151,2489.40577834242,0
"148",152,2493.77490763835,0
"149",153,2491.30748682429,0
"150",154,2506.32789758961,0
"151",155,2510.04409670823,0
"152",156,2514.13964579261,0
"153",157,2528.42484117346,0
"154",158,2550.87997561372,0
"155",159,2578.42367812348,0
"156",160,2614.44470189771,0
"157",161,2636.68831072325,0
"158",162,2662.29932680193,0
"159",163,2661.46129005467,0
"160",164,2668.02840120054,0
"161",165,2640.78994751323,0
"162",166,2653.93118077983,0
"163",167,2658.26576826589,0
"164",168,2680.57617602888,0
"165",169,2698.12845685283,0
"166",170,2696.2192244061,0
"167",171,2704.31174293207,0
"168",172,2726.84311546059,0
"169",173,2741.38179563496,0
"170",174,2764.53888463489,0
"171",175,2797.26348664587,0
"172",176,2823.96688520602,0
"173",177,2817.85758475997,0
"174",178,2857.2392775807,0
"175",179,2887.00873492037,0
"176",180,2878.61735293879,0
"177",181,2881.12642957824,0
"178",182,2881.83685292777,0
"179",183,2904.39938677986,0
"180",184,2907.89953921948,0
"181",185,2931.65415636483,0
"182",186,2959.08677815788,0
"183",187,2962.63675461311,0
"184",188,2964.66017643364,0
"185",189,2963.25399353982,0
"186",190,2964.29987258267,0
"187",191,2987.18216422914,0
"188",192,3015.99956266498,0
"189",193,2999.31748984822,0
"190",194,3018.85800903637,0
"191",195,3023.27082297644,0
"192",196,3032.12747860399,0
"193",197,3059.5485044069,0
"194",198,3055.60585543584,0
"195",199,3071.07137157146,0
"196",200,3071.06994659609,0
"197",201,3070.25209607684,0
"198",202,3074.42864609785,0
"199",203,3095.24823503864,0
"200",204,3143.35128387987,0
"201",205,3152.69172951918,0
"202",206,3167.23666092598,0
"203",207,3168.03499282006,0
"204",208,3174.3279513319,0
"205",209,3198.43123637259,0
"206",210,3202.63313568893,0
"207",211,3215.44679054055,0
"208",212,3229.42985548179,0
"209",213,3233.42123979459,0
"210",214,3240.62657504886,0
"211",215,3262.82594510585,0
"212",216,3285.14241671226,0
"213",217,3285.459082437,0
"214",218,3295.84600796216,0
"215",219,3294.23193467109,0
"216",220,3296.76304091565,0
"217",221,3303.23052691828,0
"218",222,3307.25930008673,0
"219",223,3309.048023188,0
"220",224,3311.0296684721,0
"221",225,3312.69942636079,0
"222",226,3329.13164593248,0
"223",227,3353.17301051791,0
"224",228,3362.84686673394,0
"225",229,3370.23368047865,0
"226",230,3394.00375930163,0
"227",231,3398.44975333926,0
"228",232,3415.02114186891,0
"229",233,3420.87808700555,0
"230",234,3422.08224625695,0
"231",235,3437.86535658361,0
"232",236,3459.85135103061,0
"233",237,3489.56306510629,0
"234",238,3486.67043825951,0
"235",239,3497.51185572149,0
"236",240,3503.82564764558,0
"237",241,3499.55644068242,0
"238",242,3496.39639141851,0
"239",243,3524.95402566085,0
"240",244,3556.21988232133,0
"241",245,3581.27303561122,0
"242",246,3584.65302133777,0
"243",247,3606.22335188805,0
"244",248,3628.14263458239,0
"245",249,3647.20741051713,0
"246",250,3679.59973349747,0
"247",251,3691.96161203515,0
"248",252,3717.26857374185,0
"249",253,3747.07190474289,0
"250",254,3779.99804176899,0
"251",255,3802.18459754797,0
"252",256,3806.32660188782,0
"253",257,3821.3312236297,0
"254",258,3847.14778131543,0
"255",259,3851.56495560076,0
"256",260,3856.14356654761,0
"257",261,3878.35846080009,0
"258",262,3869.60677666958,0
"259",263,3883.51418166113,0
"260",264,3886.26850004757,0
"261",265,3896.3621760595,0
"262",266,3908.89158426575,0
"263",267,3922.80009037801,0
"264",268,3951.99201992828,0
"265",269,3958.82348322843,0
"266",270,3975.26173341424,0
"267",271,3989.03419564269,0
"268",272,3994.31708942023,0
"269",273,4020.61583270036,0
"270",274,4025.47717470607,0
"271",275,4037.42273334616,0
"272",276,4038.01512391275,0
"273",277,4044.75679693654,0
"274",278,4049.98121613095,0
"275",279,4056.59391661057,0
"276",280,4057.75110687616,0
"277",281,4061.39996601312,0
"278",282,4090.58984880725,0
"279",283,4092.96753477059,0
"280",284,4152.21420293581,0
"281",285,4153.07393910682,0
"282",286,4157.66642571351,0
"283",287,4154.90160711036,0
"284",288,4157.44750810302,0
"285",289,4153.87053703143,0
"286",290,4159.13745104622,0
"287",291,4161.37660230255,0
"288",292,4167.42440071847,0
"289",293,4174.8604504986,0
"290",294,4187.97721904333,0
"291",295,4210.02739650562,0
"292",296,4209.09271498734,0
"293",297,4241.06699011846,0
"294",298,4231.15368763118,0
"295",299,4248.38663592252,0
"296",300,4254.11076591237,0
"297",301,4256.66890633442,0
"298",302,4266.02792484477,0
"299",303,4270.1478943604,0
"300",304,4290.1764408228,0
"301",305,4308.69789520546,0
"302",306,4316.56675537995,0
"303",307,4336.50042322227,0
"304",308,4343.20154431124,0
"305",309,4350.81440048641,0
"306",310,4359.8173020834,0
"307",311,4381.97859607917,0
"308",312,4387.7253244672,0
"309",313,4395.79168717026,0
"310",314,4397.7435095331,0
"311",315,4430.0066287518,0
"312",316,4437.37364759991,0
"313",317,4440.6008851331,0
"314",318,4444.33176168939,0
"315",319,4477.375496854,0
"316",320,4480.51471525424,0
"317",321,4480.58362658032,0
"318",322,4490.92038715408,0
"319",323,4517.71367844247,0
"320",324,4522.29578223498,0
"321",325,4529.2779665193,0
"322",326,4545.35811313491,0
"323",327,4555.70783748029,0
"324",328,4581.48914685409,0
"325",329,4600.53845915373,0
"326",330,4604.26163337108,0
"327",331,4634.8250197168,0
"328",332,4658.39274442165,0
"329",333,4670.79792782325,0
"330",334,4677.17566013988,0
"331",335,4700.81904909623,0
"332",336,4760.30867502921,0
"333",337,4761.11137827027,0
"334",338,4782.82182038699,0
"335",339,4776.86270827337,0
"336",340,4800.7500553555,0
"337",341,4795.77340393715,0
"338",342,4808.93474377201,0
