"","pathway.code","pathway.name","p.value","Annotated"
"215","hsa04740","Olfactory transduction - Homo sapiens (human)",1.85169184410861e-133,403
"107","hsa03040","Spliceosome - Homo sapiens (human)",7.0652708889685e-21,125
"15","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",4.0288907739569e-20,118
"99","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)",2.25153774843003e-18,73
"100","hsa03010","Ribosome - Homo sapiens (human)",1.03992960550058e-17,132
"308","hsa05204","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)",2.4247807252797e-10,63
"82","hsa00980","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)",5.89429525917423e-10,68
"103","hsa03018","RNA degradation - Homo sapiens (human)",8.2579194673553e-09,70
"14","hsa00140","Steroid hormone biosynthesis - Homo sapiens (human)",3.51882358092217e-08,56
"83","hsa00982","Drug metabolism - cytochrome P450 - Homo sapiens (human)",4.80697784763737e-08,65
"76","hsa00830","Retinol metabolism - Homo sapiens (human)",9.7984045656015e-07,62
"148","hsa04146","Peroxisome - Homo sapiens (human)",2.92456473611646e-05,69
"77","hsa00860","Porphyrin metabolism - Homo sapiens (human)",4.31197991424904e-05,38
"72","hsa00770","Pantothenate and CoA biosynthesis - Homo sapiens (human)",5.84158603693895e-05,21
"204","hsa04714","Thermogenesis - Homo sapiens (human)",0.000203559719856409,209
"4","hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)",0.000265770210014223,30
"85","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",0.000510078737156908,26
"11","hsa00100","Steroid biosynthesis - Homo sapiens (human)",0.000688720058377773,20
"33","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",0.00099255889481063,16
"35","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.00116903399163345,15
"7","hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)",0.00136798896369018,28
"134","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.00162720979991261,326
"9","hsa00062","Fatty acid elongation - Homo sapiens (human)",0.00225244458857095,25
"12","hsa00120","Primary bile acid biosynthesis - Homo sapiens (human)",0.00226993697952267,17
"70","hsa00750","Vitamin B6 metabolism - Homo sapiens (human)",0.00287799338800152,6
"2","hsa00020","Citrate cycle (TCA cycle) - Homo sapiens (human)",0.00323009216394471,30
"139","hsa04122","Sulfur relay system - Homo sapiens (human)",0.00531195360806179,8
