"","pathway.code","pathway.name","p.value","Annotated"
"215","hsa04740","Olfactory transduction - Homo sapiens (human)",2.31701358995376e-131,403
"107","hsa03040","Spliceosome - Homo sapiens (human)",1.04482070184893e-20,125
"15","hsa00190","Oxidative phosphorylation - Homo sapiens (human)",1.47655002331431e-20,118
"99","hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)",5.21173260567555e-20,73
"100","hsa03010","Ribosome - Homo sapiens (human)",3.03629881962545e-16,132
"103","hsa03018","RNA degradation - Homo sapiens (human)",5.22789067380577e-10,70
"308","hsa05204","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)",7.77599401868328e-10,63
"82","hsa00980","Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)",2.06204341720805e-09,68
"14","hsa00140","Steroid hormone biosynthesis - Homo sapiens (human)",3.3663519853723e-08,56
"83","hsa00982","Drug metabolism - cytochrome P450 - Homo sapiens (human)",1.52743237426388e-07,65
"76","hsa00830","Retinol metabolism - Homo sapiens (human)",1.64049456477483e-06,62
"148","hsa04146","Peroxisome - Homo sapiens (human)",2.12558323929282e-05,69
"77","hsa00860","Porphyrin metabolism - Homo sapiens (human)",2.83899926696586e-05,38
"72","hsa00770","Pantothenate and CoA biosynthesis - Homo sapiens (human)",7.42539961227216e-05,21
"134","hsa04080","Neuroactive ligand-receptor interaction - Homo sapiens (human)",0.000170226445607837,326
"204","hsa04714","Thermogenesis - Homo sapiens (human)",0.000172689919324348,209
"4","hsa00040","Pentose and glucuronate interconversions - Homo sapiens (human)",0.000242869424569685,30
"85","hsa01040","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)",0.00046180485292049,26
"11","hsa00100","Steroid biosynthesis - Homo sapiens (human)",0.000772345139958173,20
"33","hsa00430","Taurine and hypotaurine metabolism - Homo sapiens (human)",0.00100613796418783,16
"35","hsa00450","Selenocompound metabolism - Homo sapiens (human)",0.0013825213979678,15
"7","hsa00053","Ascorbate and aldarate metabolism - Homo sapiens (human)",0.00139234006368807,28
