"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"5","VEGFD",5,437,-0.0455736588070825,0.1,0,1,0.330258509299405,1.43604803085327
"4","FN1",4,429,-0.119951799007094,0.003,0,1,0.0204274289709421,1.47512197494507
"51","FAM49B",5,437,-0.0707663688670084,0.025,0,1,0.117221986352848,1.30581092834473
"52","SERPINF2",5,437,-0.0856387724155081,0.01,0,1,0.0560517018598809,1.40651202201843
"53","PROS1",5,437,-0.0641107443698635,0.039,0,1,0.165523551681247,1.47792196273804
"41","NTRK2",4,425,-0.0940420194940523,0.004,0,1,0.026085843671449,1.24620294570923
"42","CREB5",4,430,-0.114750188732483,0.001,0,1,0.00790775527898214,1.37181210517883
"43","TBC1D4",4,421,-0.0887067095052219,0.007,0,1,0.0417329159094878,1.21508407592773
"54","DDX39A",5,435,-0.0666413134721319,0.037,0,1,0.158982982554503,1.36694383621216
"2","BIRC5",2,218,-0.166601343031819,0.000999000999000999,0,1,0.00790085392538984,1.48347806930542
"3","CDCA8",3,370,-0.153186003732269,0.000999000999000999,0,1,0.00790085392538984,1.2767391204834
"44","SNRPG",4,426,0.00605324757557564,0.562,0,1,0.885854427147707,1.39262700080872
"31","TOP2A",3,340,-0.125279760750536,0.001,0,1,0.00790775527898214,1.28518414497375
"21","CCNB1",2,230,-0.181198867467531,0.000999000999000999,0,1,0.00790085392538984,1.47430205345154
"32","CCNB2",3,376,-0.136526754327608,0.000999000999000999,0,1,0.00790085392538984,1.43769311904907
"33","AURKB",3,382,-0.145916666504028,0.000999000999000999,0,1,0.00790085392538984,1.29057097434998
"22","CDK1",2,245,-0.157082946961503,0.000999000999000999,0,1,0.00790085392538984,1.44364285469055
"45","H2AFZ",4,430,-0.0739354893227559,0.025,0,1,0.117221986352848,1.30252003669739
"55","MAML2",5,435,-0.0484495874631211,0.106,0,1,0.343897515596227,1.39458107948303
"56","H2AFY",5,434,-0.077232319388963,0.02,0,1,0.0982404601085629,1.35696792602539
"57","CLDN19",5,428,-0.0899524796081645,0.011,0,1,0.0606084600680215,1.17159390449524
"58","CLDN11",5,428,-0.0877036676179604,0.015,0,1,0.0779955761681989,1.27253317832947
"6","CLDN8",6,436,-0.0881431144823593,0.01,0,1,0.0560517018598809,1.32322406768799
"59","PAFAH1B3",5,434,-0.140446578778483,0.000999000999000999,0,1,0.00790085392538984,1.21726894378662
"510","ENPP2",5,427,-0.145473025653683,0.000999000999000999,0,1,0.00790085392538984,1.30709099769592
"46","PRKCA",4,434,-0.133777811334066,0.000999000999000999,0,1,0.00790085392538984,1.28282690048218
"511","EZH1",5,432,-0.0716087123535962,0.025,0,1,0.117221986352848,2.76011300086975
"34","EZH2",3,337,-0.0953912675478406,0.013,0,1,0.0694564769797678,1.47008299827576
"512","KIT",5,437,-0.0868650532504844,0.01,0,1,0.0560517018598809,1.26799607276917
